id	rate
13169	34168
13171	26630
13173	25434
13175	29622
13177	41198
13179	27940
13181	29093
13183	21473
13185	30938
13187	27573
13189	31174
13191	23235
13193	22530
13195	29317
13197	26821
13199	27952
13201	33685
13205	26493
13207	39397
13209	26251
13211	35966
13213	25177
13215	39611
13217	25830
13219	53361
13221	30618
13223	36485
13225	29801
13227	36407
13229	28147
13231	30608
13233	26456
13235	26252
13237	32005
13239	25757
13241	30324
13243	28495
13245	30320
13247	31840
13249	20566
13251	29475
13253	35865
13255	28305
13257	30553
13259	23862
13261	28685
13263	26273
13265	28126
13267	24181
13269	25979
13271	17385
13273	32048
13275	35687
13277	29585
13279	30934
13281	35378
13283	24686
13285	32410
13287	29305
13289	32267
13291	31281
13293	27346
13295	27250
13297	34236
13299	26878
13301	27425
13303	28950
13305	29118
13307	24574
13309	17340
13311	25757
13313	28044
13315	25300
13317	28866
13319	28592
13321	31944
15000	42925
15001	31749
15003	46624
15007	36520
15901	36272
16000	32881
16001	39734
16003	28140
16005	28818
16007	30138
16009	31906
16011	27500
16013	59465
16015	36633
16017	31433
16019	34989
16021	26714
16023	35305
16025	38661
16027	23575
16029	33809
16031	34515
16033	54591
16035	30493
16037	34186
16039	35173
16041	27265
16043	24545
16045	26895
16047	41179
16049	27827
16051	27612
16053	31543
16055	32923
16057	31809
16059	30733
16061	43570
16063	30533
16065	19184
16067	31486
16069	36109
16071	28032
16073	31541
16075	28869
16077	30936
16079	33097
16081	25705
16083	32134
16085	35942
16087	27605
17000	43721
17001	38345
17003	26943
17005	34642
17007	33252
17009	28616
17011	37663
17013	33613
17015	35880
17017	33988
17019	35815
17021	38569
17023	35428
17025	33079
17027	39241
17029	32876
17031	46937
17033	37989
17035	35900
17037	31612
17039	39064
17041	39610
17043	54509
17045	35098
17047	31552
17049	37882
17051	28478
17053	44484
17055	29656
17057	33723
17059	37066
17061	31573
17063	34829
17065	34674
17067	35155
17069	28982
17071	36872
17073	37404
17075	39189
17077	33213
17079	35451
17081	33546
17083	38503
17085	42456
17087	25920
17089	37293
17091	33171
17093	38151
17095	33471
17097	55656
17099	37237
17101	28625
17103	34815
17105	42417
17107	35094
17109	32538
17111	40811
17113	41816
17115	40591
17117	36510
17119	38133
17121	33356
17123	41192
17125	38136
17127	31843
17129	41543
17131	40639
17133	44712
17135	32821
17137	33922
17139	37363
17141	35741
17143	45375
17145	26540
17147	48481
17149	32959
17151	27582
17153	32688
17155	39408
17157	29682
17159	31293
17161	39132
17163	36680
17165	33214
17167	43261
17169	35565
17171	35634
17173	35486
17175	41870
17177	36980
17179	41909
17181	31273
17183	32619
17185	34751
17187	35144
17189	39530
17191	33827
17193	37977
17195	37306
17197	42459
17199	33674
17201	34377
17203	42811
18000	35689
18001	29566
18003	35199
18005	39645
18007	40109
18009	30489
18011	52975
18013	35863
18015	33062
18017	31648
18019	33898
18021	30977
18023	32076
18025	27820
18027	32989
18029	35376
18031	34354
18033	31863
18035	30164
18037	40718
18039	32131
18041	28590
18043	40219
18045	33382
18047	36561
18049	31284
18051	35066
18053	32141
18055	31059
18057	51824
18059	43714
18061	32122
18063	36188
18065	29214
18067	32267
18069	32225
18071	32941
18073	36012
18075	30862
18077	29872
18079	31435
18081	36570
18083	36312
18085	37541
18087	23897
18089	34847
18091	31650
18093	31205
18095	30421
18097	38309
18099	32137
18101	33378
18103	27000
18105	31021
18107	33045
18109	37634
18111	33054
18113	30378
18115	36241
18117	30007
18119	30009
18121	28182
18123	30253
18125	31525
18127	42999
18129	40731
18131	35071
18133	31817
18135	32773
18137	30055
18139	37175
18141	36289
18143	28041
18145	35376
18147	33906
18149	27844
18151	31284
18153	29175
18155	28435
18157	31172
18159	37631
18161	33458
18163	38608
18165	33665
18167	31666
18169	33469
18171	35958
18173	41726
18175	29544
18177	30909
18179	34321
18181	34982
18183	33958
19000	41156
19001	40325
19003	43553
19005	35588
19007	29636
19009	52562
19011	42432
19013	37461
19015	40920
19017	43157
19019	39192
19021	41466
19023	45534
19025	48966
19027	45157
19029	43471
19031	43351
19033	41225
19035	45252
19037	43446
19039	32255
19041	44683
19043	38662
19045	39340
19047	42843
19049	47740
19051	27254
19053	27009
19055	41861
19057	38869
19059	45680
19061	38886
19063	39635
19065	37074
19067	38187
19069	50311
19071	43581
19073	46956
19075	49783
19077	41971
19079	45945
19081	43929
19083	45878
19085	41885
19087	32561
19089	40392
19091	45462
19093	52555
19095	40554
19097	36099
19099	34457
19101	33544
19103	41349
19105	33518
19107	39175
19109	52330
19111	32827
19113	43378
19115	35508
19117	30301
19119	48644
19121	37816
19123	36013
19125	34823
19127	36420
19129	44674
19131	45802
19133	41972
19135	35680
19137	37834
19139	38104
19141	47412
19143	47738
19145	32716
19147	47327
19149	47144
19151	51676
19153	45336
19155	36640
19157	41359
19159	32397
19161	50675
19163	46372
19165	48595
19167	42297
19169	37429
19171	38615
19173	42430
19175	35339
19177	30057
19179	32297
19181	40496
19183	40837
19185	31029
19187	39467
19189	37507
19191	39471
19193	34726
19195	39521
19197	50104
20000	40883
20001	34790
20003	33439
20005	31499
20007	42528
20009	38785
20011	30693
20013	41002
20015	37697
20017	51481
20019	35669
20021	34084
20023	42519
20025	35455
20027	44657
20029	35515
20031	46517
20033	36405
20035	32982
20037	29542
20039	48685
20041	37910
20043	32364
20045	33379
20047	55574
20049	34099
20051	41552
20053	35125
20055	33417
20057	32309
20059	33885
20061	41409
20063	47676
20065	57090
20067	38787
20069	47114
20071	63499
20073	34437
20075	43240
20077	46355
20079	38254
20081	62019
20083	41348
20085	35661
20087	34779
20089	49412
20091	56550
20093	36346
20095	43017
20097	43801
20099	35029
20101	40053
20103	34360
20105	43313
20107	31382
20109	49477
20111	29493
20113	41457
20115	35248
20117	46600
20119	45079
20121	42131
20123	43319
20125	34133
20127	35727
20129	52667
20131	48745
20133	32042
20135	44307
20137	39849
20139	31807
20141	44023
20143	33499
20145	35188
20147	44602
20149	36131
20151	44612
20153	64186
20155	33642
20157	37939
20159	31654
20161	46890
20163	37250
20165	37344
20167	36274
20169	39910
20171	37867
20173	38653
20175	30619
20177	38913
20179	61365
20181	50602
20183	45628
20185	43747
20187	45210
20189	39294
20191	39651
20193	43302
20195	37752
20197	34429
20199	65411
20201	39424
20203	45603
20205	32535
20207	28461
20209	28836
21000	33989
21001	25525
21003	28088
21005	31048
21007	36228
21009	29128
21011	24925
21013	25656
21015	35704
21017	30504
21019	33405
21021	30686
21023	30499
21025	28088
21027	27404
21029	30533
21031	26519
21033	30328
21035	29889
21037	37531
21039	32236
21041	31945
21043	25297
21045	24495
21047	32061
21049	33660
21051	24205
21053	26424
21055	28682
21057	26104
21059	35246
21061	25668
21063	19426
21065	24043
21067	39950
21069	24700
21071	31270
21073	36091
21075	30749
21077	26547
21079	26144
21081	29743
21083	29429
21085	25329
21087	26421
21089	36391
21091	30440
21093	38880
21095	28221
21097	28778
21099	25092
21101	32311
21103	30890
21105	38035
21107	32099
21109	20923
21111	41828
21113	31544
21115	27763
21117	40219
21119	27426
21121	25949
21123	36474
21125	27082
21127	26603
21129	23118
21131	28852
21133	28942
21135	21251
21137	25212
21139	32672
21141	31530
21143	28634
21145	39872
21147	20842
21149	32674
21151	28677
21153	24606
21155	27671
21157	33315
21159	26109
21161	31158
21163	39065
21165	22752
21167	29945
21169	22574
21171	25677
21173	27696
21175	22309
21177	28429
21179	33071
21181	28332
21183	29387
21185	44660
21187	26405
21189	24593
21191	27961
21193	31458
21195	32694
21197	26527
21199	29043
21201	26029
21203	23865
21205	25953
21207	28137
21209	34376
21211	35173
21213	31596
21215	34806
21217	28837
21219	27761
21221	37352
21223	23461
21225	35767
21227	32025
21229	27502
21231	23020
21233	32258
21235	29500
21237	22829
21239	41755
22000	38549
22001	32883
22003	23979
22005	41388
22007	36324
22009	30479
22011	29705
22013	30545
22015	36697
22017	40810
22019	36366
22021	29025
22023	35114
22025	30655
22027	29515
22029	26936
22031	30417
22033	41974
22035	31676
22037	33974
22039	28704
22041	28881
22043	25596
22045	37805
22047	32040
22049	28722
22051	44821
22053	31311
22055	47060
22057	45437
22059	30066
22061	31256
22063	31832
22065	25709
22067	29775
22069	30307
22071	42542
22073	34256
22075	39919
22077	36650
22079	38624
22081	30084
22083	31005
22085	28547
22087	34958
22089	37491
22091	34856
22093	32266
22095	36548
22097	34881
22099	31989
22101	37462
22103	47508
22105	31732
22107	38622
22109	39764
22111	31051
22113	30998
22115	43887
22117	27527
22119	34292
22121	37160
22123	23753
22125	27474
22127	30005
23000	38299
23001	36192
23003	32038
23005	47015
23007	30757
23009	38542
23011	36958
23013	38777
23015	40534
23017	30999
23019	33940
23021	32189
23023	41044
23025	31538
23027	32416
23029	32738
23031	40124
24000	50656
24001	32855
24003	56270
24005	50926
24009	47483
24011	32819
24013	45507
24015	39689
24017	44778
24019	34771
24021	46610
24023	38463
24025	49329
24027	66300
24029	44489
24031	69762
24033	40215
24035	49605
24037	44849
24039	28387
24041	55721
24043	37008
24045	34985
24047	43987
24510	42036
25000	53471
25001	55465
25003	44483
25005	41884
25007	60075
25009	53209
25011	42588
25013	39677
25015	39664
25017	62324
25019	75947
25021	66806
25023	50968
25025	55472
25027	45548
26001	29209
26003	25518
26005	33565
26007	33612
26009	32587
26011	30335
26013	25943
26015	33268
26017	33737
26019	31079
26021	35830
26023	28098
26025	33541
26027	35027
26029	36361
26031	29533
26033	26977
26035	28297
26037	35926
26039	27501
26041	32175
26043	37594
26045	33655
26047	39842
26049	31057
26051	26853
26053	29454
26055	36894
26057	30647
26059	28481
26061	27169
26063	40336
26065	34450
26067	26781
26069	28245
26071	33002
26073	27960
26075	31396
26077	35933
26079	27137
26081	36589
26083	36886
26085	27668
26087	31825
26089	43978
26091	32611
26093	40677
26095	24492
26097	33675
26099	35717
26101	29901
26103	32555
26105	31659
26107	27328
26109	31871
26111	43446
26113	26591
26115	35647
26117	25160
26119	27993
26121	29766
26123	28371
26125	53297
26127	31836
26129	27435
26131	29514
26133	26782
26135	25348
26137	30030
26139	33777
26141	29450
26143	29948
26145	32007
26147	33459
26149	29826
26151	32193
26153	30598
26155	29422
26157	28341
26159	31013
26161	40821
26163	34012
26165	27661
27000	44560
27001	30949
27003	39850
27005	36998
27007	31834
27009	34270
27011	39621
27013	36808
27015	39204
27017	31902
27019	57830
27021	37649
27023	46031
27025	35160
27027	35448
27029	29583
27031	41004
27033	43027
27035	33640
27037	46299
27039	38067
27041	37703
27043	46913
27045	38185
27047	39052
27049	42377
27051	40436
27053	57476
27055	40554
27057	32013
27059	36544
27061	33604
27063	49666
27065	30917
27067	42769
27069	43914
27071	35855
27073	47448
27075	41505
27077	33091
27079	37608
27081	41559
27083	40343
27085	36359
27087	30580
27089	41968
27091	45532
27093	35304
27095	28941
27097	33985
27099	40268
27101	50384
27103	38630
27105	41549
27107	42495
27109	45721
27111	36781
27113	42781
27115	28707
27117	43131
27119	38824
27121	43039
27123	45365
27125	35695
27127	42779
27129	42832
27131	32631
